city	id	parking	lat	lon
Genova	1	Piazza Fontane Marose	44.4103933	8.9350658
Genova	2	Piazza Marsala - Angolo Via Palestro	44.4110796	8.9388594
Genova	3	Via Gramsci	44.4124848	8.9273775
Genova	4	Via di Francia 	44.4104736	8.9057435
Genova	5	P.zza Bandiera	44.4142749	8.9286671
Genova	6	Via Duca D'Aosta 	44.404704	8.9479208
Genova	7	Staz.Principe. Salita Provvidenza	44.417745	8.9221933
Genova	8	Via Turati-Piazza Cavour	44.4070375	8.9280977
Genova	9	Piazza Sarzano	44.4041504	8.9307999
Genova	10	P.zza  Villa	44.4144117	8.9339644
Genova	11	Corso Paganini 	44.4158887	8.9356756
Genova	12	C.so Armellini  	44.4140087	8.9459449
Genova	13	V.le Brigate Partigiane 	44.3987657	8.9452471
Genova	14	P.zza Matteotti	44.4068256	8.9325911
Genova	15	Via Corsica	44.4015337	8.9378226
Genova	16	Via SS Giacomo e Filippo	44.4098486	8.9404825
Genova	17	Genova Campi	44.4225881	8.8839244
Genova	18	CorsO Europa - Cavalcavia Don Bosco	44.3951761	8.9933874
Genova	19	S.Martino - Via Mosso	44.4080103	8.9748909
Genova	20	Fiumara - Via Mantovani	44.4140409	8.8817755
Genova	21	Corso Sardegna	44.4113712	8.9551059
Genova	22	S.Fruttuoso - P.zza Terralba	44.4070278	8.9609293
Genova	23	S.Fruttuoso - P.zza Solari	44.4126817	8.9587882
Genova	24	Piazza Carloforte*	44.4135999	8.9541073
Genova	25	Staglieno - Via Bobbio	44.4224508	8.9470413
Genova	26	Via Ceccardi	44.4058489	8.9361435
Genova	27	Principe - Metro	44.4161136	8.9191134
Genova	28	Corso Marconi - Foce	44.3952903	8.9486807
Genova	29	Piazza Paolo da Novi	44.4023309	8.9498025
Genova	30	Via Macaggi	44.4022033	8.942403
Genova	31	S.Nicola	44.4206398	8.9301819
Genova	32	Largo S.Francesco da Paola	44.4189539	8.914958
Genova	33	Via Isonzo - Piazza Ragazzi delÿ 99	44.4001412	8.9814352
Genova	34	Nervi - Via Oberdan (Via Palach)	44.3842596	9.0313714
Genova	35	Pegli - Piazza Porticciolo	44.4246389	8.8121712
Genova	36	Pegli - Via Rizzo	44.427673	8.8109461
Genova	37	Piazza Leonardo da Vinci - Albaro	44.3978052	8.9644713
Genova	38	Piazza Massena - Cornigliano	44.4164687	8.8761026
Genova	39	Piazza Merani - Albaro	44.3969746	8.9530725
Genova	40	Piazza Tommaseo 	44.4017353	8.954418
Genova	41	Piazza del Ferro - Garibaldi	44.4104548	8.9336963
Genova	42	Piazzale Bligny - Molassana	44.4397676	8.9644824
Genova	43	Quarto - Via 5 Maggio (monumento)	44.3879795	8.9948634
Genova	44	Quarto - park interno ASL3	44.3975411	8.9882766
Genova	45	Quinto - Via Gianelli	44.3842864	9.0197233
Genova	46	Sestri Ponente - Largo Coppi	44.4243081	8.8493034
Genova	47	Sestri Ponente - Via Hermada	44.4235829	8.8534421
Genova	48	Sturla - Via 5 Maggio	44.3919462	8.9861856
Genova	49	Via Canepari - Certosa	44.4339965	8.892856
Genova	50	Via Cantore - Sampierdarena	44.4113091	8.8958245
Genova	51	Via Cavallotti - Boccadasse	44.3902757	8.9740199
Genova	52	Via Fillak - Rivarolo	44.4222134	8.8887365
Genova	53	Via Fillak / Brin - Certosa	44.4284793	8.8932941
Genova	54	Via Molteni - Sampierdarena	44.4125721	8.8868834
Genova	55	Via Napoli	44.4225882	8.9200411
Genova	56	Via Petrarca / Piazza Matteotti	44.4066255	8.9341639
Genova	57	Via Piacenza Gavette	44.4341646	8.96064
Savona	1	Albisola Superiore - P.zza della Libert…	44.3390542	8.5098509
Savona	2	Corso Vittorio Veneto - San Michele	44.3007182	8.4754502
Savona	3	Via Alessandria - Villapiana	44.3149649	8.474686
Savona	4	Via Amendola - Villetta	44.3139748	8.4829042
Savona	5	Via Bonini - ingresso Campus Universit…	44.2985664	8.4523381
Savona	6	Via Manzoni - Piazza Sisto IV	44.3079333	8.4813557
Savona	7	Via dei Sormano - ang Via delle Trincee	44.3095006	8.4752254